uniqueID,mean_absorbance,nrow,powdermassg,mcabsorbance
64,0.09343333045641583,3,0.0749,1.247440994077648
205,0.4499000012874606,3,0.075,5.998666683832808
40,0.13416666785875933,3,0.0752,1.784131221526055
229,0.12676666925350832,3,0.0753,1.6834883034994463
123,0.15913333495457968,3,0.0749,2.1246106135457903
140,0.19996666908264135,3,0.0749,2.6697819637201783
219,0.21790000299612666,3,0.0749,2.90921232304575
147,0.10686666766802466,3,0.0754,1.4173298099207516
225,0.0985666662454604,3,0.0749,1.3159768524093511
2,1.0663666327794399,3,0.0747,14.275323062643103
177,0.13153333713610968,3,0.0753,1.7467906658181895
125,0.22506666680177068,3,0.0747,3.0129406533034895
204,0.4199666579564414,3,0.0753,5.577246453604799
198,0.154499997695287,3,0.0751,2.057256959990506
21,0.186599999666214,3,0.0752,2.4813829742847604
135,0.21486666798591636,3,0.0748,2.872549037244871
242,0.24339999755223599,3,0.0748,3.2540106624630476
191,0.2634333272775016,3,0.0747,3.526550565963877
1,0.4562666714191437,3,0.0747,6.10798756919871
41,0.17613332966963466,3,0.0751,2.3453173058539902
24,0.422433336575826,3,0.0751,5.6249445615955525
178,0.169633333881696,3,0.0751,2.25876609696
92,0.39290000001589465,3,0.0748,5.252673797003939
174,0.103533332546552,3,0.0751,1.378606292231052
195,0.26320000489552803,3,0.0752,3.5000000651001066
237,0.41970000664393137,3,0.0714,5.878151353556461
200,0.2198666632175447,3,0.0749,2.935469468859075
209,0.36449999610582967,3,0.075,4.859999948077729
51,0.37413333853085834,3,0.0751,4.981802110930205
182,0.5757000048955283,3,0.0749,7.686248396469003
18,0.3570666710535684,3,0.0749,4.7672452744134635
109,0.141466662287712,3,0.0753,1.878707334498167
104,0.20310000081857035,3,0.0747,2.718875512966136
107,0.5471333265304563,3,0.0747,7.324408655026189
175,0.7474666436513263,3,0.0749,9.97952795262118
127,0.47766667604446394,3,0.075,6.368889013926186
247,0.19126666585604335,3,0.0747,2.56046406768465
101,0.5323333144187926,3,0.075,7.0977775255839015
166,0.17719999949137366,3,0.075,2.362666659884982
213,0.130700002113978,3,0.0752,1.7380319430050266
84,0.3039000034332277,3,0.0749,4.057409925677272
9,1.0205666621526077,3,0.0749,13.625723126203042
31,0.229766666889191,3,0.0748,3.0717468835453343
16,0.7233666578928627,3,0.0752,9.619237471979556
196,0.30789999167124465,3,0.0749,4.110814308027299
201,0.18883333603541066,3,0.0753,2.5077468264994773
36,0.153399998943011,3,0.0747,2.053547509277256
65,0.7030000090599063,3,0.0747,9.41097736358643
33,0.379166672627131,3,0.0753,5.035413979111965
3,0.32336666186650603,3,0.0749,4.317311907429987
80,0.3085666646560033,3,0.0752,4.103280115106426
169,0.22446666161219267,3,0.0751,2.988903616673671
121,0.170766666531563,3,0.075,2.2768888870875066
139,0.1994333366552987,3,0.075,2.659111155403983
88,0.346566677093506,3,0.0749,4.627058439165635
110,0.27156665921211265,3,0.0753,3.6064629377438595
117,0.5806000034014387,3,0.0747,7.772423070969728
77,0.8760333458582563,3,0.0753,11.633908975541251
87,0.45830000440279633,3,0.0749,6.11882515891584
71,0.22723333537578563,3,0.0753,3.017706977102067
102,0.17426666617393463,3,0.075,2.3235555489857953
60,1.3838000297546367,3,0.0752,18.40159614035421
19,0.128133331735929,3,0.075,1.70844442314572
226,0.5081666707992553,3,0.075,6.775555610656737
208,0.7253000140190123,3,0.0748,9.696524251591073
187,0.3350666562716167,3,0.0752,4.455673620633201
37,0.524133324623108,3,0.0748,7.0071300083303205
91,0.22426666319370267,3,0.0748,2.998217422375704
217,0.2651999940474827,3,0.075,3.5359999206331025
75,0.211799999078115,3,0.0752,2.8164893494430188
39,0.8131999969482423,3,0.0751,10.828228987326796
5,0.36920000116030366,3,0.0752,4.909574483514676
130,0.288400004307429,3,0.0747,3.860776496752731
89,0.29509999354680366,3,0.0748,3.9451870795027224
111,0.23613333702087433,3,0.0752,3.140070971022265
128,0.21959999700387334,3,0.0749,2.9319091722813533
119,0.161833330988884,3,0.0749,2.1606586246846997
136,0.25333333015441933,3,0.0749,3.3822874519949178
52,0.4039333363374073,3,0.0747,5.407407447622587
14,0.48839999238650006,3,0.0753,6.486055675783533
249,0.23553333183129635,3,0.0749,3.144637274116106
113,0.38433333237965933,3,0.075,5.124444431728791
142,0.6215333342552186,3,0.0749,8.298175357212532
244,0.155499994754791,3,0.075,2.0733332633972137
69,0.21866666773955035,3,0.0751,2.9116733387423483
137,0.2705000042915343,3,0.075,3.606666723887124
131,0.3700999915599823,3,0.075,4.934666554133098
245,0.11663333574930816,3,0.0751,1.5530404227604282
47,0.5541333357493083,3,0.0753,7.359008442885901
146,0.369899998108546,3,0.0751,4.925432731139095
223,0.2794000059366227,3,0.075,3.7253334124883026
93,0.20096667110919966,3,0.0753,2.6688800944116817
184,0.21666666865348835,3,0.075,2.888888915379845
143,0.21256666878859198,3,0.0748,2.841800384874224
149,1.40696668624878,3,0.0748,18.80971505680187
28,0.6388333241144813,3,0.0752,8.49512399088406
44,0.18983333309491468,3,0.0751,2.5277407868830184
105,0.16329999764760336,3,0.0749,2.180240289020072
26,0.46926666299502034,3,0.0752,6.24024817812527
96,0.21813333531220766,3,0.075,2.9084444708294357
168,0.12133333086967467,3,0.0753,1.6113324152679238
151,0.385466665029526,3,0.0751,5.1327119178365646
34,0.14753333479166034,3,0.0748,1.9723707859847637
162,0.16363333662350968,3,0.075,2.181777821646796
22,0.48486666878064466,3,0.075,6.464888917075262
13,0.34086666504542035,3,0.0753,4.526781740311026
20,0.4776333272457123,3,0.0752,6.351507011246174
250,0.169466664393743,3,0.0749,2.2625722883009747
228,0.267366667588552,3,0.0751,3.5601420451205326
30,0.17763333022594466,3,0.0752,2.362145348749264
10,0.24163333574930834,3,0.0749,3.2260792489894308
98,0.20516666769981365,3,0.0749,2.7392078464594616
58,0.6198333303133646,3,0.0749,8.275478375345322
129,0.4022666712601983,3,0.0748,5.3778966746015815
176,0.9272666573524474,3,0.0751,12.347092641177728
181,0.17763333519299832,3,0.075,2.3684444692399778
222,0.15093333522478733,3,0.0752,2.007092223733874
17,0.7768333355585733,3,0.0751,10.343985826345849
73,0.4870333274205523,3,0.0752,6.476507013571173
234,0.4354000091552734,3,0.0753,5.782204636856219
21,0.186599999666214,3,0.075,2.48799999554952
72,0.22220000127951334,3,0.0748,2.9705882523999105
165,0.27926667034626035,3,0.0753,3.7087207217298848
203,0.07346666604280473,3,0.0748,0.9821746797166407
12,0.17123333116372466,3,0.0748,2.2892156572690463
138,0.2907333274682363,3,0.0748,3.8868091907518223
185,0.2601666748523714,3,0.0752,3.459663229419832
90,0.48043333490689594,3,0.0751,6.397248134579174
85,0.2642333209514616,3,0.0748,3.5325310287628557
53,0.3679666717847187,3,0.0752,4.893173826924451
251,0.6178666551907855,3,0.075,8.238222069210474
56,0.25596666832764964,3,0.0751,3.4083444517663066
194,0.0913333321611088,3,0.0752,1.2145389915041063
76,0.404199997584025,3,0.0748,5.40374328320889
199,0.6948666572570804,3,0.075,9.26488876342774
167,0.29243332147598267,3,0.0751,3.89391906093186
35,0.374766667683919,3,0.0751,4.990235255444993
23,1.2124333381652834,3,0.0749,16.1873609901907
68,0.335399995247523,3,0.0748,4.483957155715548
61,0.20720000068346667,3,0.0752,2.7553191580248226
79,0.8009333411852521,3,0.075,10.679111215803362
38,0.3989333411057793,3,0.0751,5.312028510063639
45,0.47056667009989434,3,0.0752,6.257535506647531
188,0.21406666437784835,3,0.075,2.8542221917046446
206,0.08313333491484327,3,0.0749,1.109924364684156
32,0.43723333875338266,3,0.0753,5.8065516434712166
70,0.5822999874750774,3,0.0749,7.774365653872863
100,0.2475999941428507,3,0.0748,3.3101603495033514
120,0.6686000029246012,3,0.0753,8.879150105240386
202,0.248966669042905,3,0.075,3.3195555872387335
212,0.28846666216850303,3,0.075,3.846222162246707
183,0.5930333336194353,3,0.0748,7.928253123254483
150,0.38306666413942964,3,0.0752,5.093971597598798
164,0.441233336925507,3,0.0749,5.890965780046822
189,0.2560333361228307,3,0.0752,3.4046986186546633
227,0.17863333225250233,3,0.0751,2.37860628831561
170,0.44676666458447767,3,0.075,5.9568888611263695
15,0.288066665331523,3,0.0751,3.8357745050801992
59,0.16093333562215165,3,0.0753,2.1372288927244574
99,0.173166667421659,3,0.0753,2.299690138401846
193,0.63346666097641,3,0.0747,8.480142717221018
82,0.5592666665712993,3,0.0751,7.446959608139804
42,0.9351666768391925,3,0.0747,12.518964884058802
161,0.19406666855017365,3,0.0749,2.5910102610170047
103,0.18413333594799067,3,0.0752,2.448581595053067
141,0.3024999996026356,3,0.0753,4.017264270951336
145,0.20693333446979534,3,0.0751,2.7554372099839592
50,0.10183333108822468,3,0.0749,1.3595905352232935
230,0.19256666799386335,3,0.0749,2.570983551319938
180,0.4350333313147227,3,0.0751,5.79272078980989
55,0.105233334004879,3,0.0753,1.3975210359213677
218,0.220900004108747,3,0.0752,2.937500054637593
6,0.21570000052452099,3,0.0752,2.8683510708048003
132,0.3877666691939037,3,0.0751,5.163337805511367
112,0.14369999865690866,3,0.0748,1.9211229766966398
156,0.4263333280881246,3,0.0753,5.661797185765266
54,0.19823333621025066,3,0.0752,2.6360815985405672
158,0.1873666644096373,3,0.0751,2.4948956645757296
57,0.18746666610240936,3,0.0752,2.492907793915018
163,0.17033333082993832,3,0.075,2.271111077732511
210,0.32966666420300833,3,0.075,4.395555522706778
235,0.6980666617552441,3,0.0752,9.282801353128246
4,0.307366669178009,3,0.075,4.098222255706786
116,0.7997999986012777,3,0.0752,10.63563827927231
186,0.7885666489601136,3,0.0751,10.500221690547452
126,0.16166666646798467,3,0.0751,2.1526853058320197
236,0.27853332956631965,3,0.075,3.7137777275509287
62,0.31663333376248665,3,0.0749,4.227414335947753
173,0.24236666659514097,3,0.0751,3.227252551200279
49,0.6059999863306684,3,0.0751,8.069240829968953
224,0.12603333592414834,3,0.075,1.6804444789886446
67,0.233133335908254,3,0.0749,3.112594604916609
232,0.18253333369890867,3,0.075,2.4337777826521156
95,0.118200001617273,3,0.075,1.57600002156364
7,0.1842666665712993,3,0.0748,2.4634581092419694
179,0.7386333346366883,3,0.0753,9.80920763129732
78,0.38593333959579496,3,0.0752,5.132092281858975
155,0.6284333268801373,3,0.0752,8.356826155320974
63,0.3225000003973643,3,0.0748,4.311497331515565
46,0.6101666688919066,3,0.075,8.135555585225422
148,0.22759999831517566,3,0.0749,3.038718268560423
94,0.24206666151682535,3,0.0749,3.2318646397439967
233,0.37890000144640595,3,0.0752,5.038563849021355
197,0.2556666582822797,3,0.0751,3.4043496442380783
134,0.338799993197123,3,0.075,4.517333242628307
248,0.129833330710729,3,0.0751,1.7288060014744209
211,0.26666666567325564,3,0.0751,3.550821114157865
252,0.22943332791328466,3,0.075,3.0591110388437954
8,0.299233337243398,3,0.075,3.9897778299119735
171,0.154499997695287,3,0.0752,2.0545212459479654
243,0.09743333359559365,3,0.0753,1.2939353731154535
238,1.1298333406448366,3,0.0751,15.044385361449223
160,0.18546666204929366,3,0.0751,2.469596032613764
66,0.6721000075340274,3,0.0752,8.937500100186535
25,0.19003333648045864,3,0.0753,2.523683087389889
239,0.341400002439817,3,0.0751,4.545938780823129
11,0.22360000014305134,3,0.0749,2.9853137535787897
97,0.25040000677108765,3,0.0749,3.3431242559557766
190,0.18016666670640333,3,0.075,2.4022222227520444
192,0.5930666526158649,3,0.0749,7.918112852014218
48,0.2697333395481107,3,0.0753,3.5821160630559183
157,0.3372666736443836,3,0.0749,4.502892839043841
83,0.18116666873296097,3,0.075,2.4155555831061464
29,0.17666666706403134,3,0.075,2.3555555608537513
240,0.8893666664759309,3,0.0752,11.82668439462674
124,0.16656666994094835,3,0.0747,2.229808165206805
115,0.3599333365758257,3,0.075,4.799111154344343
144,0.49163333574930834,3,0.0751,6.546382633146583
153,0.6389000018437704,3,0.0751,8.507323593126104
152,0.4287666579087577,3,0.0752,5.701684280701564
133,0.2967000007629393,3,0.0753,3.940239053956697
