Induction,Species,Genotype,uniqueID,Replanted,Damage_rank,Cricket_escaped,Si_ppm,Mn_ppm,mass_g,isDamaged,mean_absorbance,nrow,powdermassg,mcabsorbance
MeJA,Oats,Camden (O),151,,,,3510,196,2.6329,,0.385466665029526,3,0.0751,5.1327119178365646
MeJA,Oats,Summit (O),129,,,,3591,171,2.7675,,0.4022666712601983,3,0.0748,5.3778966746015815
Insect,Oats,Morgan (O),40,,M,,4312,196,2.031,Damaged,0.13416666785875933,3,0.0752,1.784131221526055
Control,Barley,Austenson (B),123,,,,3967,128,4.0579,,0.15913333495457968,3,0.0749,2.1246106135457903
Control,Wheat,Brandon (W),158,,,,7971,226,1.4795,,0.1873666644096373,3,0.0751,2.4948956645757296
Control,Wheat,Landmark (W),157,,,,4468,174,2.5045,,0.3372666736443836,3,0.0749,4.502892839043841
MeJA,Triticale,Stampeder (T),136,,,,4600,262,2.5411,,0.25333333015441933,3,0.0749,3.3822874519949178
Control,Barley,Austenson (B),148,,,,4052,161,3.3554,,0.22759999831517566,3,0.0749,3.038718268560423
MeJA,Triticale,Pronghorn (T),124,,,,3996,194,3.0453,,0.16656666994094835,3,0.0747,2.229808165206805
Insect,Oats,Summit (O),35,,M,,2391,149,3.5565,Damaged,0.374766667683919,3,0.0751,4.990235255444993
Insect,Wheat,Plentiful (W),39,,S,,6938,278,2.6645,Damaged,0.8131999969482423,3,0.0751,10.828228987326796
Insect,Barley,Copeland (B),38,,N,,2213,90,4.5565,Undamaged,0.3989333411057793,3,0.0751,5.312028510063639
Insect,Wheat,Brandon (W),37,,S,,5718,228,2.4413,Damaged,0.524133324623108,3,0.0748,7.0071300083303205
Insect,Barley,Synergy (B),48,,N,,5269,108,3.6336,Undamaged,0.2697333395481107,3,0.0753,3.5821160630559183
Insect,Barley,Copeland (B),47,,N,,2626,120,2.9509,Undamaged,0.5541333357493083,3,0.0753,7.359008442885901
Insect,Barley,Synergy (B),49,,S,,5589,111,3.8467,Damaged,0.6059999863306684,3,0.0751,8.069240829968953
Insect,Triticale,Tyndal (T),56,,S,,10702,372,2.1182,Damaged,0.25596666832764964,3,0.0751,3.4083444517663066
Insect,Triticale,Stampeder (T),62,,N,,4195,187,1.8866,Undamaged,0.31663333376248665,3,0.0749,4.227414335947753
Insect,Barley,Synergy (B),67,,M,,3404,81,3.8392,Damaged,0.233133335908254,3,0.0749,3.112594604916609
Insect,Wheat,Landmark (W),63,,M,,4518,140,3.4041,Damaged,0.3225000003973643,3,0.0748,4.311497331515565
Control,Barley,Synergy (B),109,,,,2951,100,3.8857,,0.141466662287712,3,0.0753,1.878707334498167
Control,Triticale,Pronghorn (T),115,,,,5229,243,2.8657,,0.3599333365758257,3,0.075,4.799111154344343
MeJA,Wheat,Brandon (W),121,,,,8924,221,2.1209,,0.170766666531563,3,0.075,2.2768888870875066
Control,Barley,Austenson (B),245,,,,4103,108,3.7838,,0.11663333574930816,3,0.0751,1.5530404227604282
Control,Oats,Morgan (O),96,,,,3114,143,2.189,,0.21813333531220766,3,0.075,2.9084444708294357
Control,Wheat,Brandon (W),166,,,,6361,201,1.8241,,0.17719999949137366,3,0.075,2.362666659884982
Control,Oats,Camden (O),153,,,,4313,220,2.5996,,0.6389000018437704,3,0.0751,8.507323593126104
Control,Triticale,Stampeder (T),145,,,,4309,241,2.3811,,0.20693333446979534,3,0.0751,2.7554372099839592
Control,Oats,Morgan (O),176,,,,4826,150,1.952,,0.9272666573524474,3,0.0751,12.347092641177728
Control,Triticale,Pronghorn (T),165,,,,9134,342,2.5474,,0.27926667034626035,3,0.0753,3.7087207217298848
Control,Barley,Copeland (B),169,,,,3962,105,1.6948,,0.22446666161219267,3,0.0751,2.988903616673671
MeJA,Barley,Synergy (B),160,,,,5847,118,3.0534,,0.18546666204929366,3,0.0751,2.469596032613764
MeJA,Oats,Summit (O),117,,,,3818,149,2.9843,,0.5806000034014387,3,0.0747,7.772423070969728
Control,Wheat,Brandon (W),119,,,,8223,196,1.9646,,0.161833330988884,3,0.0749,2.1606586246846997
MeJA,Barley,Copeland (B),139,,,,2524,120,2.7083,,0.1994333366552987,3,0.075,2.659111155403983
MeJA,Wheat,Plentiful (W),134,,,,6025,233,2.238,,0.338799993197123,3,0.075,4.517333242628307
MeJA,Barley,Copeland (B),140,,,,2855,94,3.3231,,0.19996666908264135,3,0.0749,2.6697819637201783
MeJA,Triticale,Pronghorn (T),147,,,,4613,164,2.1833,,0.10686666766802466,3,0.0754,1.4173298099207516
Control,Wheat,Landmark (W),130,,,,7716,264,2.2538,,0.288400004307429,3,0.0747,3.860776496752731
MeJA,Triticale,Pronghorn (T),105,,,,5539,172,2.44,,0.16329999764760336,3,0.0749,2.180240289020072
MeJA,Barley,Copeland (B),103,,,,1880,104,3.2785,,0.18413333594799067,3,0.0752,2.448581595053067
Control,Barley,Synergy (B),104,,,,2610,101,3.7514,,0.20310000081857035,3,0.0747,2.718875512966136
Insect,Oats,Camden (O),149,,N,,3289,181,2.4419,Undamaged,1.40696668624878,3,0.0748,18.80971505680187
Insect,Oats,Summit (O),142,,N,,3339,124,2.389,Undamaged,0.6215333342552186,3,0.0749,8.298175357212532
Insect,Oats,Camden (O),138,,M,,3288,156,2.3502,Damaged,0.2907333274682363,3,0.0748,3.8868091907518223
Insect,Oats,Summit (O),141,,N,,3097,127,2.6393,Undamaged,0.3024999996026356,3,0.0753,4.017264270951336
Insect,Triticale,Stampeder (T),137,,S,,3872,238,2.4448,Damaged,0.2705000042915343,3,0.075,3.606666723887124
Insect,Oats,Morgan (O),113,,M,,3696,167,3.2703,Damaged,0.38433333237965933,3,0.075,5.124444431728791
Insect,Triticale,Pronghorn (T),131,,S,,5990,218,2.1826,Damaged,0.3700999915599823,3,0.075,4.934666554133098
Insect,Barley,Synergy (B),128,,S,,4223,105,3.9138,Damaged,0.21959999700387334,3,0.0749,2.9319091722813533
Insect,Barley,Austenson (B),79,,N,,5055,140,3.5153,Undamaged,0.8009333411852521,3,0.075,10.679111215803362
Insect,Wheat,Plentiful (W),66,,N,,6485,238,3.8493,Undamaged,0.6721000075340274,3,0.0752,8.937500100186535
Insect,Triticale,Tyndal (T),80,,N,,6203,179,2.4255,Undamaged,0.3085666646560033,3,0.0752,4.103280115106426
Insect,Triticale,Stampeder (T),75,,M,,5867,222,3.0051,Damaged,0.211799999078115,3,0.0752,2.8164893494430188
Insect,Triticale,Tyndal (T),65,,N,,10212,324,2.5256,Undamaged,0.7030000090599063,3,0.0747,9.41097736358643
Insect,Wheat,Landmark (W),53,,S,,7206,206,2.9052,Damaged,0.3679666717847187,3,0.0752,4.893173826924451
Control,Barley,Copeland (B),127,,,,3209,127,3.098,,0.47766667604446394,3,0.075,6.368889013926186
Insect,Barley,Copeland (B),135,,N,,1879,97,3.7157,Undamaged,0.21486666798591636,3,0.0748,2.872549037244871
Insect,Triticale,Stampeder (T),164,,S,,9600,419,0.1535,Damaged,0.441233336925507,3,0.0749,5.890965780046822
Insect,Triticale,Stampeder (T),1,,S,,4517,172,3.5185,Damaged,0.4562666714191437,3,0.0747,6.10798756919871
Insect,Oats,Camden (O),17,,N,,4271,215,3.1845,Undamaged,0.7768333355585733,3,0.0751,10.343985826345849
Insect,Wheat,Brandon (W),25,,M,,4035,118,2.1285,Damaged,0.19003333648045864,3,0.0753,2.523683087389889
Insect,Barley,Copeland (B),243,,M,,2893,108,3.2142,Damaged,0.09743333359559365,3,0.0753,1.2939353731154535
Insect,Barley,Austenson (B),252,,M,,2934,91,3.7187,Damaged,0.22943332791328466,3,0.075,3.0591110388437954
Insect,Triticale,Pronghorn (T),249,,M,,5012,241,2.1404,Damaged,0.23553333183129635,3,0.0749,3.144637274116106
Insect,Barley,Austenson (B),244,,S,,5396,126,3.3689,Damaged,0.155499994754791,3,0.075,2.0733332633972137
Insect,Triticale,Pronghorn (T),237,,S,,4330,179,2.2621,Damaged,0.41970000664393137,3,0.0714,5.878151353556461
Insect,Barley,Copeland (B),239,,M,,1962,106,3.5105,Damaged,0.341400002439817,3,0.0751,4.545938780823129
Insect,Barley,Synergy (B),224,,S,,3684,89,3.337,Damaged,0.12603333592414834,3,0.075,1.6804444789886446
Insect,Barley,Synergy (B),236,,S,,3537,133,3.449,Damaged,0.27853332956631965,3,0.075,3.7137777275509287
Insect,Wheat,Plentiful (W),217,,N,,3913,144,1.4377,Undamaged,0.2651999940474827,3,0.075,3.5359999206331025
Insect,Barley,Austenson (B),209,,N,,3078,105,3.4422,Undamaged,0.36449999610582967,3,0.075,4.859999948077729
Insect,Oats,Morgan (O),111,,M,,3517,131,2.6311,Damaged,0.23613333702087433,3,0.0752,3.140070971022265
Insect,Oats,Morgan (O),90,,N,,2969,131,2.3335,Undamaged,0.48043333490689594,3,0.0751,6.397248134579174
Insect,Barley,Austenson (B),203,,N,,4672,104,3.2866,Undamaged,0.07346666604280473,3,0.0748,0.9821746797166407
MeJA,Barley,Synergy (B),177,,,,4018,134,2.7355,,0.13153333713610968,3,0.0753,1.7467906658181895
Control,Oats,Morgan (O),182,,,,2426,141,2.5253,,0.5757000048955283,3,0.0749,7.686248396469003
Control,Oats,Camden (O),183,,,,3839,171,2.0778,,0.5930333336194353,3,0.0748,7.928253123254483
MeJA,Triticale,Stampeder (T),188,,,,5075,297,2.3908,,0.21406666437784835,3,0.075,2.8542221917046446
Control,Wheat,Plentiful (W),184,,,,9399,252,2.0314,,0.21666666865348835,3,0.075,2.888888915379845
MeJA,Barley,Austenson (B),200,,,,4880,114,3.4236,,0.2198666632175447,3,0.0749,2.935469468859075
MeJA,Barley,Copeland (B),199,,,,2469,101,3.2321,,0.6948666572570804,3,0.075,9.26488876342774
Control,Oats,Morgan (O),195,,,,3975,131,1.7161,,0.26320000489552803,3,0.0752,3.5000000651001066
MeJA,Triticale,Pronghorn (T),196,,,,9758,294,1.9334,,0.30789999167124465,3,0.0749,4.110814308027299
MeJA,Wheat,Brandon (W),211,,,,8900,195,1.9358,,0.26666666567325564,3,0.0751,3.550821114157865
MeJA,Oats,Morgan (O),212,,,,3379,154,1.7212,,0.28846666216850303,3,0.075,3.846222162246707
Insect,Triticale,Tyndal (T),10,,N,,8635,297,1.9708,Undamaged,0.24163333574930834,3,0.0749,3.2260792489894308
Control,Barley,Synergy (B),156,,,,3733,94,2.9745,,0.4263333280881246,3,0.0753,5.661797185765266
MeJA,Triticale,Stampeder (T),162,,,,5115,279,2.3621,,0.16363333662350968,3,0.075,2.181777821646796
MeJA,Oats,Camden (O),78,,,,2789,187,3.8411,,0.38593333959579496,3,0.0752,5.132092281858975
MeJA,Barley,Austenson (B),206,,,,5370,124,2.639,,0.08313333491484327,3,0.0749,1.109924364684156
Control,Triticale,Stampeder (T),210,,,,4758,243,3.2613,,0.32966666420300833,3,0.075,4.395555522706778
Control,Wheat,Brandon (W),178,,,,6376,188,2.3347,,0.169633333881696,3,0.0751,2.25876609696
Control,Wheat,Landmark (W),202,,,,8887,194,1.894,,0.248966669042905,3,0.075,3.3195555872387335
MeJA,Triticale,Stampeder (T),101,,,,6294,362,2.0076,,0.5323333144187926,3,0.075,7.0977775255839015
Control,Barley,Synergy (B),99,,,,2696,91,3.32,,0.173166667421659,3,0.0753,2.299690138401846
Control,Wheat,Landmark (W),233,,,,6919,200,2.4795,,0.37890000144640595,3,0.0752,5.038563849021355
MeJA,Oats,Morgan (O),204,,,,2897,103,2.1938,,0.4199666579564414,3,0.0753,5.577246453604799
Control,Barley,Austenson (B),125,,,,4056,147,3.7642,,0.22506666680177068,3,0.0747,3.0129406533034895
Insect,Triticale,Stampeder (T),12,,N,,2255,146,3.2339,Undamaged,0.17123333116372466,3,0.0748,2.2892156572690463
Insect,Oats,Camden (O),16,,N,,3713,187,2.5308,Undamaged,0.7233666578928627,3,0.0752,9.619237471979556
Insect,Triticale,Pronghorn (T),155,,S,,9646,366,1.303,Damaged,0.6284333268801373,3,0.0752,8.356826155320974
Insect,Triticale,Pronghorn (T),97,,S,,4510,157,2.02,Damaged,0.25040000677108765,3,0.0749,3.3431242559557766
Control,Wheat,Landmark (W),234,,,,4834,163,2.8507,,0.4354000091552734,3,0.0753,5.782204636856219
MeJA,Wheat,Brandon (W),126,,,,8715,238,2.2655,,0.16166666646798467,3,0.0751,2.1526853058320197
Control,Oats,Summit (O),144,,,,1932,102,2.1721,,0.49163333574930834,3,0.0751,6.546382633146583
Control,Wheat,Landmark (W),120,,,,4381,164,3.2119,,0.6686000029246012,3,0.0753,8.879150105240386
Control,Barley,Copeland (B),143,,,,2721,113,3.1876,,0.21256666878859198,3,0.0748,2.841800384874224
Control,Triticale,Pronghorn (T),116,,,,6133,262,2.9986,,0.7997999986012777,3,0.0752,10.63563827927231
MeJA,Oats,Summit (O),87,,,,2301,142,3.0262,,0.45830000440279633,3,0.0749,6.11882515891584
Insect,Triticale,Tyndal (T),85,1,N,,5778,229,1.3124,Undamaged,0.2642333209514616,3,0.0748,3.5325310287628557
Insect,Wheat,Plentiful (W),92,,S,,5548,181,2.089,Damaged,0.39290000001589465,3,0.0748,5.252673797003939
Insect,Wheat,Landmark (W),112,,S,,3343,149,2.997,Damaged,0.14369999865690866,3,0.0748,1.9211229766966398
Insect,Wheat,Plentiful (W),91,,N,,6247,196,2.5002,Undamaged,0.22426666319370267,3,0.0748,2.998217422375704
Control,Triticale,Pronghorn (T),94,,,,9738,349,1.6158,,0.24206666151682535,3,0.0749,3.2318646397439967
MeJA,Wheat,Brandon (W),95,,,,6375,202,1.916,,0.118200001617273,3,0.075,1.57600002156364
Control,Oats,Camden (O),98,,,,2688,184,2.677,,0.20516666769981365,3,0.0749,2.7392078464594616
Control,Wheat,Landmark (W),190,,,,4811,184,2.2304,,0.18016666670640333,3,0.075,2.4022222227520444
MeJA,Barley,Copeland (B),100,,,,2977,121,1.9651,,0.2475999941428507,3,0.0748,3.3101603495033514
Control,Oats,Morgan (O),205,,,,3962,155,1.9188,,0.4499000012874606,3,0.075,5.998666683832808
Control,Wheat,Brandon (W),201,,,,8566,221,2.0011,,0.18883333603541066,3,0.0753,2.5077468264994773
MeJA,Wheat,Brandon (W),213,,,,6034,126,2.2095,,0.130700002113978,3,0.0752,1.7380319430050266
Control,Wheat,Plentiful (W),247,,,,11516,215,2.6336,,0.19126666585604335,3,0.0747,2.56046406768465
MeJA,Wheat,Plentiful (W),248,,,,11954,256,2.4484,,0.129833330710729,3,0.0751,1.7288060014744209
Control,Triticale,Stampeder (T),185,,,,4148,194,2.0604,,0.2601666748523714,3,0.0752,3.459663229419832
MeJA,Barley,Copeland (B),242,,,,5303,115,2.7852,,0.24339999755223599,3,0.0748,3.2540106624630476
Control,Wheat,Plentiful (W),222,,,,7136,118,1.9673,,0.15093333522478733,3,0.0752,2.007092223733874
MeJA,Barley,Synergy (B),223,,,,4669,109,3.0006,,0.2794000059366227,3,0.075,3.7253334124883026
Control,Triticale,Tyndal (T),107,,,,7878,256,1.2873,,0.5471333265304563,3,0.0747,7.324408655026189
MeJA,Wheat,Brandon (W),228,,,,7486,171,1.6614,,0.267366667588552,3,0.0751,3.5601420451205326
Insect,Barley,Synergy (B),161,,S,,2941,104,3.2294,Damaged,0.19406666855017365,3,0.0749,2.5910102610170047
Control,Wheat,Plentiful (W),189,,,,8266,259,0.306,,0.2560333361228307,3,0.0752,3.4046986186546633
MeJA,Barley,Copeland (B),251,,,,2576,108,3.1388,,0.6178666551907855,3,0.075,8.238222069210474
Control,Triticale,Stampeder (T),250,,,,3907,245,1.1606,,0.169466664393743,3,0.0749,2.2625722883009747
MeJA,Oats,Morgan (O),238,,,,5187,161,2.1544,,1.1298333406448366,3,0.0751,15.044385361449223
MeJA,Wheat,Plentiful (W),227,,,,10073,209,2.5076,,0.17863333225250233,3,0.0751,2.37860628831561
Control,Triticale,Pronghorn (T),230,,,,4798,180,2.9747,,0.19256666799386335,3,0.0749,2.570983551319938
MeJA,Oats,Summit (O),225,,,,2960,130,2.0253,,0.0985666662454604,3,0.0749,1.3159768524093511
MeJA,Oats,Camden (O),226,,,,3596,160,2.6441,,0.5081666707992553,3,0.075,6.775555610656737
Control,Barley,Austenson (B),133,,,,3059,127,3.3808,,0.2967000007629393,3,0.0753,3.940239053956697
Control,Oats,Summit (O),82,,,,2372,133,3.603,,0.5592666665712993,3,0.0751,7.446959608139804
Control,Oats,Morgan (O),170,,,,3022,128,2.2914,,0.44676666458447767,3,0.075,5.9568888611263695
MeJA,Triticale,Tyndal (T),84,,,,6726,213,2.7031,,0.3039000034332277,3,0.0749,4.057409925677272
Insect,Oats,Summit (O),146,,M,,2331,127,3.1253,Damaged,0.369899998108546,3,0.0751,4.925432731139095
MeJA,Barley,Austenson (B),240,,,,6729,119,3.656,,0.8893666664759309,3,0.0752,11.82668439462674
MeJA,Triticale,Pronghorn (T),88,,,,3439,149,2.8132,,0.346566677093506,3,0.0749,4.627058439165635
Control,Barley,Austenson (B),89,,,,2535,102,3.1812,,0.29509999354680366,3,0.0748,3.9451870795027224
Insect,Oats,Morgan (O),163,,S,,2329,149,2.3053,Damaged,0.17033333082993832,3,0.075,2.271111077732511
Insect,Oats,Morgan (O),167,,N,,2889,165,2.7714,Undamaged,0.29243332147598267,3,0.0751,3.89391906093186
Insect,Triticale,Pronghorn (T),5,,S,,3641,139,1.623,Damaged,0.36920000116030366,3,0.0752,4.909574483514676
Insect,Triticale,Tyndal (T),8,,N,,10170,182,2.6907,Undamaged,0.299233337243398,3,0.075,3.9897778299119735
Control,Triticale,Tyndal (T),150,1,,,9923,380,2.323,,0.38306666413942964,3,0.0752,5.093971597598798
Control,Wheat,Plentiful (W),219,,,,14342,237,2.254,,0.21790000299612666,3,0.0749,2.90921232304575
Insect,Barley,Austenson (B),34,,S,,5495,126,2.7289,Damaged,0.14753333479166034,3,0.0748,1.9723707859847637
Insect,Wheat,Landmark (W),235,,S,1,3588,168,2.8587,Damaged,0.6980666617552441,3,0.0752,9.282801353128246
Insect,Barley,Copeland (B),232,,N,,2873,122,3.4745,Undamaged,0.18253333369890867,3,0.075,2.4337777826521156
Insect,Wheat,Landmark (W),197,,M,,3338,118,2.1603,Damaged,0.2556666582822797,3,0.0751,3.4043496442380783
Insect,Oats,Morgan (O),191,,N,,2483,118,3.1872,Undamaged,0.2634333272775016,3,0.0747,3.526550565963877
MeJA,Oats,Morgan (O),132,,,,3207,142,2.8072,,0.3877666691939037,3,0.0751,5.163337805511367
Insect,Wheat,Brandon (W),194,,S,,4754,143,1.3192,Damaged,0.0913333321611088,3,0.0752,1.2145389915041063
Insect,Wheat,Brandon (W),218,,S,,8093,232,1.295,Damaged,0.220900004108747,3,0.0752,2.937500054637593
Insect,Triticale,Stampeder (T),152,,N,,5305,214,3.0647,Undamaged,0.4287666579087577,3,0.0752,5.701684280701564
MeJA,Triticale,Stampeder (T),186,,,,8105,312,0.7367,,0.7885666489601136,3,0.0751,10.500221690547452
MeJA,Wheat,Plentiful (W),174,,,,8946,235,2.3939,,0.103533332546552,3,0.0751,1.378606292231052
MeJA,Wheat,Plentiful (W),168,,,,10849,330,2.711,,0.12133333086967467,3,0.0753,1.6113324152679238
Insect,Wheat,Plentiful (W),229,,S,,9885,235,2.448,Damaged,0.12676666925350832,3,0.0753,1.6834883034994463
Insect,Triticale,Pronghorn (T),110,,N,,5109,179,2.1332,Undamaged,0.27156665921211265,3,0.0753,3.6064629377438595
Control,Oats,Camden (O),93,,,,2725,161,2.5922,,0.20096667110919966,3,0.0753,2.6688800944116817
MeJA,Wheat,Plentiful (W),102,,,,6531,257,3.0199,,0.17426666617393463,3,0.075,2.3235555489857953
Control,Barley,Copeland (B),21,,,,3526,107,4.4611,,0.186599999666214,3,0.0752,2.4813829742847604
Control,Barley,Copeland (B),21,,,,3526,107,4.4611,,0.186599999666214,3,0.075,2.48799999554952
MeJA,Oats,Morgan (O),22,,,,4318,138,1.8214,,0.48486666878064466,3,0.075,6.464888917075262
MeJA,Oats,Summit (O),28,,,,2956,173,3.3161,,0.6388333241144813,3,0.0752,8.49512399088406
MeJA,Wheat,Landmark (W),9,,,,5076,138,1.979,,1.0205666621526077,3,0.0749,13.625723126203042
MeJA,Oats,Morgan (O),14,,,,5936,211,2.3101,,0.48839999238650006,3,0.0753,6.486055675783533
MeJA,Wheat,Plentiful (W),19,,,,5821,168,3.6592,,0.128133331735929,3,0.075,1.70844442314572
MeJA,Oats,Camden (O),77,,,,2486,154,2.7281,,0.8760333458582563,3,0.0753,11.633908975541251
Control,Barley,Synergy (B),4,,,,2374,82,2.9643,,0.307366669178009,3,0.075,4.098222255706786
MeJA,Barley,Synergy (B),45,,,,3932,110,3.8067,,0.47056667009989434,3,0.0752,6.257535506647531
Control,Barley,Copeland (B),6,,,,2091,106,4.602,,0.21570000052452099,3,0.0752,2.8683510708048003
Control,Triticale,Stampeder (T),46,,,,3056,225,2.9144,,0.6101666688919066,3,0.075,8.135555585225422
Control,Oats,Summit (O),42,,,,1735,130,3.6147,,0.9351666768391925,3,0.0747,12.518964884058802
Control,Oats,Camden (O),2,,,,3865,177,2.2186,,1.0663666327794399,3,0.0747,14.275323062643103
Control,Barley,Synergy (B),55,,,,2231,87,4.1469,,0.105233334004879,3,0.0753,1.3975210359213677
MeJA,Barley,Synergy (B),7,,,,5068,107,3.286,,0.1842666665712993,3,0.0748,2.4634581092419694
Control,Triticale,Pronghorn (T),13,,,,2524,127,3.0492,,0.34086666504542035,3,0.0753,4.526781740311026
Control,Triticale,Pronghorn (T),3,,,,6133,262,1.8154,,0.32336666186650603,3,0.0749,4.317311907429987
MeJA,Barley,Austenson (B),20,,,,3383,111,4.839,,0.4776333272457123,3,0.0752,6.351507011246174
MeJA,Oats,Camden (O),26,,,,5684,262,2.7823,,0.46926666299502034,3,0.0752,6.24024817812527
MeJA,Triticale,Tyndal (T),15,,,,8568,261,1.5337,,0.288066665331523,3,0.0751,3.8357745050801992
Insect,Wheat,Brandon (W),192,,S,,5562,160,1.3392,Damaged,0.5930666526158649,3,0.0749,7.918112852014218
Insect,Oats,Summit (O),179,,N,,2652,133,3.0062,Undamaged,0.7386333346366883,3,0.0753,9.80920763129732
Insect,Triticale,Stampeder (T),198,,M,,4536,235,2.6852,Damaged,0.154499997695287,3,0.0751,2.057256959990506
MeJA,Wheat,Landmark (W),29,,,,4168,155,3.0347,,0.17666666706403134,3,0.075,2.3555555608537513
MeJA,Wheat,Brandon (W),44,,,,7242,197,1.9378,,0.18983333309491468,3,0.0751,2.5277407868830184
MeJA,Barley,Synergy (B),50,,,,3544,107,4.2721,,0.10183333108822468,3,0.0749,1.3595905352232935
MeJA,Barley,Austenson (B),41,,,,4066,104,3.6239,,0.17613332966963466,3,0.0751,2.3453173058539902
Control,Barley,Copeland (B),54,,,,2638,101,4.1428,,0.19823333621025066,3,0.0752,2.6360815985405672
MeJA,Wheat,Landmark (W),59,,,,2876,123,2.9241,,0.16093333562215165,3,0.0753,2.1372288927244574
Control,Oats,Summit (O),60,,,,2631,119,3.2604,,1.3838000297546367,3,0.0752,18.40159614035421
MeJA,Oats,Summit (O),72,,,,2445,123,3.6517,,0.22220000127951334,3,0.0748,2.9705882523999105
Insect,Wheat,Brandon (W),24,,S,,3992,141,2.4819,Damaged,0.422433336575826,3,0.0751,5.6249445615955525
Insect,Barley,Copeland (B),173,,M,,4148,131,3.1332,Damaged,0.24236666659514097,3,0.0751,3.227252551200279
Insect,Oats,Summit (O),76,,N,,3323,150,3.3169,Undamaged,0.404199997584025,3,0.0748,5.40374328320889
Control,Barley,Synergy (B),11,,,,2749,92,4.2507,,0.22360000014305134,3,0.0749,2.9853137535787897
Control,Triticale,Stampeder (T),51,,,,4284,283,3.4283,,0.37413333853085834,3,0.0751,4.981802110930205
Insect,Wheat,Brandon (W),208,,N,,8900,171,1.4722,Undamaged,0.7253000140190123,3,0.0748,9.696524251591073
MeJA,Triticale,Pronghorn (T),73,,,,8815,239,2.0911,,0.4870333274205523,3,0.0752,6.476507013571173
MeJA,Triticale,Tyndal (T),58,,,,9217,443,2.577,,0.6198333303133646,3,0.0749,8.275478375345322
Control,Oats,Morgan (O),52,,,,3406,148,2.965,,0.4039333363374073,3,0.0747,5.407407447622587
MeJA,Triticale,Stampeder (T),61,,,,4255,201,2.6191,,0.20720000068346667,3,0.0752,2.7553191580248226
MeJA,Wheat,Landmark (W),57,,,,5439,133,2.4354,,0.18746666610240936,3,0.0752,2.492907793915018
Control,Oats,Camden (O),18,,,,2439,201,2.9681,,0.3570666710535684,3,0.0749,4.7672452744134635
MeJA,Wheat,Landmark (W),36,,,,6522,186,3.2439,,0.153399998943011,3,0.0747,2.053547509277256
Insect,Wheat,Landmark (W),193,,S,,5951,156,2.3985,Damaged,0.63346666097641,3,0.0747,8.480142717221018
MeJA,Barley,Austenson (B),30,,,,5262,117,4.3761,,0.17763333022594466,3,0.0752,2.362145348749264
Insect,Oats,Camden (O),175,,N,,2843,196,2.3716,Undamaged,0.7474666436513263,3,0.0749,9.97952795262118
Control,Wheat,Brandon (W),69,,,,8592,209,2.1428,,0.21866666773955035,3,0.0751,2.9116733387423483
Control,Wheat,Brandon (W),31,,,,7565,203,3.3192,,0.229766666889191,3,0.0748,3.0717468835453343
Control,Barley,Copeland (B),33,,,,4301,123,2.1011,,0.379166672627131,3,0.0753,5.035413979111965
MeJA,Barley,Synergy (B),32,,,,4689,109,4.348,,0.43723333875338266,3,0.0753,5.8065516434712166
Control,Oats,Summit (O),23,,,,3945,201,2.8503,,1.2124333381652834,3,0.0749,16.1873609901907
MeJA,Oats,Summit (O),71,,,,2747,109,3.2646,,0.22723333537578563,3,0.0753,3.017706977102067
Control,Wheat,Plentiful (W),64,,,,7206,232,2.5437,,0.09343333045641583,3,0.0749,1.247440994077648
MeJA,Triticale,Pronghorn (T),70,,,,7778,299,2.269,,0.5822999874750774,3,0.0749,7.774365653872863
Control,Oats,Summit (O),68,,,,4173,170,3.3552,,0.335399995247523,3,0.0748,4.483957155715548
Insect,Wheat,Plentiful (W),187,,N,,6782,231,2.9165,Undamaged,0.3350666562716167,3,0.0752,4.455673620633201
Insect,Wheat,Landmark (W),181,,S,,2752,96,2.0801,Damaged,0.17763333519299832,3,0.075,2.3684444692399778
Insect,Oats,Summit (O),180,,M,,2547,120,2.8811,Damaged,0.4350333313147227,3,0.0751,5.79272078980989
Control,Wheat,Plentiful (W),83,,,,5832,163,3.1809,,0.18116666873296097,3,0.075,2.4155555831061464
Insect,Barley,Austenson (B),171,,S,,2678,103,2.5095,Damaged,0.154499997695287,3,0.0752,2.0545212459479654
